ID в ИС ГТИБД,Название,Название (англ.),Адрес (ручной),Дом,Район,Округ,Город,Улица,Адрес,Ближайшее метро,Ближайшая линия метро,Расстояние до метро,Метро (широта),Метро (долгота),Телефоны,Сайт,Email,Кухня,Доступно для людей с ограниченными возможностями,Геопозиция (широта),Геопозиция (долгота)
784,Buddha-Bar,Buddha-Bar,"Санкт-Петербург, Синопская набережная, д.78",76,Центральный,муниципальный округ Смольнинское,Санкт-Петербург,Синопская набережная,"Санкт-Петербург, Синопская набережная, 76",Новочеркасская,Правобережная линия,2751,59.928893,30.411925,(812) 318–07-07,http://www.buddha-bar.ru/,,"Восточная, Азиатская, Тайская",0,59.938045,30.395674
785,Bullhouse,Bullhouse,Московский пр.186,186,Московский,муниципальный округ Московская Застава,Санкт-Петербург,Московский проспект,"Санкт-Петербург, Московский проспект, 186",Парк Победы,Московско-Петроградская линия,1032,59.866269,30.321887,373-03-43,http://bullhouse.ru/,,"Русская, Европейская, Итальянская",0,59.872633,30.321384
786,Bullhouse,Bullhouse,"В.О. Средний, 97",97,Василеостровский,муниципальный округ Гавань,Санкт-Петербург,Средний проспект В.О.,"Санкт-Петербург, Средний проспект В.О., 97",Приморская,Невско-Василеостровская линия,2362,59.948456,30.234633,355-42-82,http://bullhouse.ru/,,"Русская, Европейская, Итальянская",0,59.932004,30.241281
787,Bullhouse,Bullhouse,"Колпино, ул. Ленина, 18/12",,Колпинский,,Санкт-Петербург,,"Санкт-Петербург, Колпино",,,1,,,461-69-90,http://bullhouse.ru/,,"Русская, Европейская, Итальянская",0,59.746632,30.595469
788,Bullhouse,Bullhouse,"Петергофское шоссе, 53",53,Красносельский,муниципальный округ Южно-Приморский,Санкт-Петербург,Петергофское шоссе,"Санкт-Петербург, Петергофское шоссе, 53",,,1,,,929-6129,http://bullhouse.ru/,,"Русская, Европейская, Итальянская",0,59.849438,30.140185
789,Bullhouse,Bullhouse,"г. Пушкин, Конюшенная ул. 38/37",38/37,Пушкинский,,Пушкин,Конюшенная улица,"Пушкин, Конюшенная улица, 38/37",,,1,,,451-72-80,http://bullhouse.ru/,,"Русская, Европейская, Итальянская",0,59.721783,30.415096
790,Bullhouse,Bullhouse,"ул. Савушкина, 28",28,Приморский,муниципальный округ Черная Речка,Санкт-Петербург,улица Савушкина,"Санкт-Петербург, улица Савушкина, 28",Чёрная Речка,Московско-Петроградская линия,823,59.985377,30.300902,430-63-30,http://bullhouse.ru/,,"Русская, Европейская, Итальянская",0,59.985134,30.289368
791,Bullhouse,Bullhouse,"ул. Большая Зеленина, 31",31,Петроградский,муниципальный округ Чкаловское,Санкт-Петербург,Большая Зеленина улица,"Санкт-Петербург, Большая Зеленина улица, 31",Чкаловская,Фрунзенско-Приморская линия,469,59.961138,30.292018,235-08-27,http://bullhouse.ru/,,"Русская, Европейская, Итальянская",0,59.964282,30.286296
792,Bullhouse,Bullhouse,"Суворовский пр., 36",36,Центральный,муниципальный округ Смольнинское,Санкт-Петербург,Суворовский проспект,"Санкт-Петербург, Суворовский проспект, 36",Чернышевская,Кировско-Выборгская линия,1546,59.944436,30.359975,275-22-26,http://bullhouse.ru/,,"Русская, Европейская, Итальянская",0,59.940916,30.379235
793,Bullhouse,Bullhouse,"Каменноостровский пр., 62",62,Петроградский,муниципальный округ Чкаловское,Санкт-Петербург,Каменноостровский проспект,"Санкт-Петербург, Каменноостровский проспект, 62",Петроградская,Московско-Петроградская линия,958,59.966394,30.311502,497-33-83,http://bullhouse.ru/,,"Русская, Европейская, Итальянская",0,59.972956,30.303319
794,Bullhouse,Bullhouse,"Крестовский остров. Ул, Кемская, 1",1,Петроградский,муниципальный округ Чкаловское,Санкт-Петербург,Кемская улица,"Санкт-Петербург, Кемская улица, 1",Крестовский Остров,Фрунзенско-Приморская линия,135,59.971708,30.259481,985-85-75,http://bullhouse.ru/,,"Русская, Европейская, Итальянская",0,59.972276,30.260137
795,Trattoria CIAO,Trattoria CIAO,"Ул. Савушкина, 32",32,Приморский,муниципальный округ Черная Речка,Санкт-Петербург,улица Савушкина,"Санкт-Петербург, улица Савушкина, 32",Чёрная Речка,Московско-Петроградская линия,865,59.985377,30.300902,946-08-96,bullhouse.ru,,"Русская, Европейская, Итальянская",0,59.985048,30.288541
796,Trattoria CIAO,Trattoria CIAO,"Пр. Космонавтов, 65, к.2",65к2,Московский,муниципальный округ Звездное,Санкт-Петербург,проспект Космонавтов,"Санкт-Петербург, проспект Космонавтов, 65к2",Звёздная,Московско-Петроградская линия,969,59.833127,30.349438,690-25-00,bullhouse.ru,,"Русская, Европейская, Итальянская",0,59.836554,30.358098
797,Steak Grill Belvedere,Steak Grill Belvedere,"Санкт-Петербург, Дачный пр., д. 2, корп. 2",2к2,Кировский,муниципальный округ Дачное,Санкт-Петербург,Дачный проспект,"Санкт-Петербург, Дачный проспект, 2к2",Проспект Ветеранов,Кировско-Выборгская линия,1368,59.84211,30.250588,(812) 372-43-43,http://www.steak-grill.ru/,admin@gpc.ru,Европейская,0,59.849532,30.243006
798,Баклажан,Baklajan,"Санкт-Петербург, Лиговский пр., 30, лит. А, ТК ""Галерея"", 4 этаж",30а,Центральный,муниципальный округ Лиговка-Ямская,Санкт-Петербург,Лиговский проспект,"Санкт-Петербург, Лиговский проспект, 30а",Площадь Восстания,Кировско-Выборгская линия,474,59.931517,30.360559,(812) 677 73 72,http://ginza.ru/spb/restaurant/baklajan,baklazhanmanager@mail.ru,"Узбекская, Кавказская",0,59.927256,30.360712
799,Бали,Bali,"Санкт-Петербург, Савушкина, д. 98",98,Приморский,муниципальный округ № 65,Санкт-Петербург,улица Савушкина,"Санкт-Петербург, улица Савушкина, 98",Старая Деревня,Фрунзенско-Приморская линия,863,59.989238,30.255178,(812) 331-56-69,http://balispb.ru/,,"Европейская, Японская",0,59.983747,30.254612
800,Бальзак,Balzak,"Санкт-Петербург, Маяковского ул., 14",,Центральный,муниципальный округ Литейный,Санкт-Петербург,,"Санкт-Петербург, Центральный район, улица Маяковского, 14",Маяковская,Невско-Василеостровская линия,527,59.931427,30.355178,"275-90-89, 579-11-00",http://restoran.balzak.spb.ru/,,"Восточная, Русская, Европейская",0,59.935412,30.354666
801,Банкетный ресторан «Классик»,"Restaurant ""Classic""","Петродворец, улица Аврова, д. 2, лит. А",2,Петродворцовый,,Санкт-Петербург,улица Аврова,"Санкт-Петербург, Петергоф, улица Аврова, 2",,,1,,,"(812) 450-53-01, 8 (921) 915-53-16, 8 (911) 926-70-41",http://www.banketpiter.ru/,zakaz@banketpiter.ru,"Европейская, Авторская",0,59.878997,29.924885
803,Бастион,Bastion,"Санкт-Петербург., п. Комарово, Приморское шоссе, д. 494",500,Курортный,,Санкт-Петербург,Приморское шоссе,"Санкт-Петербург, Приморское шоссе, 500",,,1,,,(812) 740-18-20,http://www.restoran-bastion.ru/,,"Кавказская, Русская, Японская, Средиземноморская",0,60.182963,29.759874
804,Белая лошадь,White horse,"Санкт-Петербург, пр.Славы,д.21",21,Фрунзенский,муниципальный округ Георгиевский,Санкт-Петербург,проспект Славы,"Санкт-Петербург, проспект Славы, 21",Международная,Фрунзенско-Приморская линия,2320,59.870203,30.379289,(812) 334 36 21,http://белая-лошадь.рф,whitehorse21@bk.ru,"Русская, Европейская",0,59.855426,30.379118
806,Беринг,Bering,"Санкт-Петербург, Пироговская наб., 5/2, отель ""Санкт-Петербург"", этаж B",5/2,Выборгский,муниципальный округ Сампсониевское,Санкт-Петербург,Пироговская набережная,"Санкт-Петербург, Пироговская набережная, 5/2",Площадь Ленина,Кировско-Выборгская линия,1229,59.955611,30.35605,(812) 380-19-03,http://bering-spb.ru/,,"Европейская, Кавказская, Мексиканская",0,59.956908,30.341425
807,Бирстайн,Birstain,"Санкт-Петербург, ул. Гаккелевская, д. 21",21а,Приморский,муниципальный округ Озеро Долгое,Санкт-Петербург,Гаккелевская улица,"Санкт-Петербург, Гаккелевская улица, 21а",Комендантский Проспект,Фрунзенско-Приморская линия,1043,60.008428,30.259077,600-03-20,http://beer-stein.spb.ru/,beerstein21@mail.ru,"Домашняя, Европейская, Японская",0,59.999863,30.256373
808,Бирштрубе,Birshtrube,"Санкт-Петербург, набережная канала Грибоедова, 166",166,Адмиралтейский,муниципальный округ Коломна,Санкт-Петербург,набережная канала Грибоедова,"Санкт-Петербург, набережная канала Грибоедова, 166",Балтийская,Кировско-Выборгская линия,2498,59.907149,30.299564,(812) 610 5000,https://vk.com/club36821472,,"Немецкая, Европейская",0,59.918909,30.284634
809,Благодать,Blagodat,"Санкт-Петербург, Петровская наб., напротив д.2 (у Троицкого моста)",2,Петроградский,муниципальный округ Посадский,Санкт-Петербург,Петровская набережная,"Санкт-Петербург, Петровская набережная, 2",Горьковская,Московско-Петроградская линия,1013,59.956057,30.318904,"(812) 327-25-08, (921) 338-97-48, (911) 281-35-80",http://www.fregat-blagodat.ru/,,"Русская, Японская, Европейская",0,59.952556,30.329765
814,Бричмула,Brichmula,"бричмула Cанкт-Петербург, Комендантский пр. д.13",,,,,,,,,1,,,"(812) 677-11-90,  +7 812 997-29-62",http://www.brichmula.com/,,Кавказская,0,,
815,Буль Вар,Bul Var,"Санкт-Петербург Маршала Казакова, 12",12к1,Кировский,муниципальный округ Красненькая Речка,Санкт-Петербург,улица Маршала Казакова,"Санкт-Петербург, улица Маршала Казакова, 12к1",Проспект Ветеранов,Кировско-Выборгская линия,3216,59.84211,30.250588,(812) 753-7777,http://www.bul-var.ru/,bul-var@yandex.ru,"Средиземноморская, Французская, Итальянская",0,59.859104,30.239978
816,Вир,Vir,"Санкт-Петербург, кан.Грибоедова, д.55",55,Адмиралтейский,муниципальный округ Сенной,Санкт-Петербург,набережная канала Грибоедова,"Санкт-Петербург, набережная канала Грибоедова, 55",Садовая,Фрунзенско-Приморская линия,375,59.926413,30.318285,"315-94-45 , 314-99-60, 8-964-384-71-70",http://www.veer.su/,,"Европейская, Ливанская, Русская",0,59.929502,30.31567
817,Via Dell' Oliva,Via Dell' Oliva,"Санкт-Петербург, Большая Морская улица, 31",31,Адмиралтейский,муниципальный округ Адмиралтейский,Санкт-Петербург,Большая Морская улица,"Санкт-Петербург, Большая Морская улица, 31",Адмиралтейская,Фрунзенско-Приморская линия,422,59.935867,30.31523,(812) 314-65-63,http://www.viadelloliva.ru/,artviadelloliva@yandex.ru,Средиземноморская,0,59.933595,30.311601
818,Villa Aston,Villa Aston,"Санкт-Петербург, Владимирский проспект, дом 5",5,Центральный,муниципальный округ Владимирский,Санкт-Петербург,Владимирский проспект,"Санкт-Петербург, Владимирский проспект, 5",Достоевская,Правобережная линия,521,59.928185,30.346204,(812) 605 05 25,http://villaaston.ru/,info@villaaston.ru,"Домашняя, Итальянская, Русская",0,59.931224,30.347076
819,Vincent,Vincent,"Санкт-Петербург, Театральная площадь, 16/11",16,Адмиралтейский,муниципальный округ Адмиралтейский,Санкт-Петербург,Театральная площадь,"Санкт-Петербург, Театральная площадь, 16",Адмиралтейская,Фрунзенско-Приморская линия,1964,59.935867,30.31523,(812) 997-90-07,http://vin-cent.ru/,9979007@mail.ru,"Авторская, Средиземноморская",0,59.924663,30.297435
821,Zималеto Villa,Zималеto Villa,"Санкт-Петербург, Южная дорога, 8",4к3,Петроградский,муниципальный округ Чкаловское,Санкт-Петербург,Южная дорога,"Санкт-Петербург, Южная дорога, 4к3",Крестовский Остров,Фрунзенско-Приморская линия,1217,59.971708,30.259481,(812) 942-74-73,http://www.zimaleto.su/,adm.zimaleto@gmail.com,"Европейская, Русская, Японская",0,59.967417,30.243033
823,Веритас,Veritas,"Санкт-Петербург, ул. Правды, д. 14/9",14,Центральный,муниципальный округ Владимирский,Санкт-Петербург,улица Правды,"Санкт-Петербург, улица Правды, 14",Звенигородская,Фрунзенско-Приморская линия,442,59.922282,30.335631,"764-89-42, 764-22-65",http://veritas-spb.ru/,,"Европейская, Русская",0,59.922336,30.341335
824,Веселый Роджер,Vesely Rodger,"Сант-Петербург, Московский пр., 136",136,Московский,муниципальный округ Московская Застава,Санкт-Петербург,Московский проспект,"Санкт-Петербург, Московский проспект, 136",Московские Ворота,Московско-Петроградская линия,627,59.891494,30.31797,(812) 388-02-14,http://rogerbar.ru/,,"Европейская, Восточная, Русская",0,59.887146,30.320557
826,Винегрет,Vinegret,"Санкт-Петербург, Проспект Юрия Гагарина, д.71",71,Московский,муниципальный округ Звездное,Санкт-Петербург,проспект Юрия Гагарина,"Санкт-Петербург, проспект Юрия Гагарина, 71",Звёздная,Московско-Петроградская линия,1105,59.833127,30.349438,(812) 433-30-00,http://www.vinegreat.ru/,info@vinergreat.ru,"Русская, Европейская, Азиатская, Кавказская",0,59.840239,30.337131
827,Вираж,Virage,"Санк-Петербург, Пр. Науки, д. 23",23,Калининский,муниципальный округ Гражданка,Санкт-Петербург,проспект Науки,"Санкт-Петербург, проспект Науки, 23",Академическая,Кировско-Выборгская линия,727,60.012696,30.396007,"(812) 918-18-19,",http://www.club-virage.ru/,info@club-virage.ru,"Европейская, Русская",0,60.010731,30.402142
828,Водопад,Vodopad,"Санкт-Петербург, Тихорецкий пр., 2/2",2к2,Выборгский,муниципальный округ Светлановское,Санкт-Петербург,Тихорецкий проспект,"Санкт-Петербург, Тихорецкий проспект, 2к2",Политехническая,Кировско-Выборгская линия,426,60.008842,30.370854,(812) 297-97-22,http://vodopad-rest.ru/,vodopad8888@mail.ru,"Европейская, Кавказская",0,60.010366,30.368303
829,GLOSS CAFE,GLOSS CAFE,"С.-Петербург, Невский пр., 17.",17,Центральный,муниципальный округ № 78,Санкт-Петербург,Невский проспект,"Санкт-Петербург, Невский проспект, 17",Адмиралтейская,Фрунзенско-Приморская линия,432,59.935867,30.31523,(812) 315 23 15,http://gloss-cafe.ru/,,"Азиатская, Средиземноморская, Европейская",0,59.935692,30.320791
830,Graf-in,Graf-in,"Конногвардейский бульвар, дом 4",4,Адмиралтейский,муниципальный округ Адмиралтейский,Санкт-Петербург,Конногвардейский бульвар,"Санкт-Петербург, Конногвардейский бульвар, 4",Адмиралтейская,Фрунзенско-Приморская линия,1108,59.935867,30.31523,60-101-60,http://www.graf-in.com/,,"Японская, Паназиатская, Европейская",0,59.932924,30.299258
831,Grand Cru,Grand Cru,"Каменноостровский пр-т, 55 Наб. Фонтанки, 52",52,Центральный,муниципальный округ Владимирский,Санкт-Петербург,набережная реки Фонтанки,"Санкт-Петербург, набережная реки Фонтанки, 52",Достоевская,Правобережная линия,579,59.928185,30.346204,(812)363-2511,http://www.grandcru.ru/,INFO@GRANDCRU.RU,"Европейская, Итальянская, Средиземноморская",0,59.93011,30.341048
832,Grato,Grato,"Санкт-Петербург, Московский пр.171",171,Московский,муниципальный округ Пулковский меридиан,Санкт-Петербург,Московский проспект,"Санкт-Петербург, Московский проспект, 171",Парк Победы,Московско-Петроградская линия,492,59.866269,30.321887,(812) 388-34-23,www.grato-trattoria.ru,info@grato-trattoria.ru,"Авторская, Европейская, Итальянская",0,59.862203,30.319893
833,Gusto,Gusto,"Санкт-Петербург, Дегтярная ул.,    д1 а",1а,Центральный,муниципальный округ Смольнинское,Санкт-Петербург,Дегтярная улица,"Санкт-Петербург, Дегтярная улица, 1а",Площадь Восстания,Кировско-Выборгская линия,658,59.931517,30.360559,(812) 717 18 18 (812) 941 17 44,http://www.gusto-spb.ru/,gustopr@gmail.com,"Авторская, Итальянская",0,59.930286,30.370135
834,Гайот,Gaiot,"Санкт-Петербург, ул.Профессора Попова, 23",23,Петроградский,муниципальный округ Аптекарский Остров,Санкт-Петербург,улица Профессора Попова,"Санкт-Петербург, улица Профессора Попова, 23",Петроградская,Московско-Петроградская линия,766,59.966394,30.311502,(812)640-04-05 (доб.1105) (812)961-47-57 (прямой),http://guyot.spb.ru/,office@guyot.spb.ru,"Русская, Европейская",0,59.971118,30.312769
835,Галерея,Galereya,"Санкт-Петербург,  ул. Некрасова   д. 5",,Центральный,муниципальный округ Литейный,Санкт-Петербург,,"Санкт-Петербург, Центральный район, улица Некрасова, 5",Чернышевская,Кировско-Выборгская линия,1036,59.944436,30.359975,(812)905-4000,http://www.gallery-spb.ru/,,"Итальянская,  Европейская",0,59.938653,30.351711
836,Гастроном,Gastronom,"Санкт-Петербург, Набережная реки Мойки, 1/7",1,Центральный,муниципальный округ Дворцовый,Санкт-Петербург,набережная реки Мойки,"Санкт-Петербург, набережная реки Мойки, 1",Невский Проспект,Московско-Петроградская линия,811,59.935421,30.327052,(812) 314-3849,http://www.gastronom.su/,gastronom.2001@mail.ru,"Европейская, Японская, Узбекская",0,59.941953,30.329271
837,Гимназия,Gimnaziya,"Санкт-Петербург, Конногвардейский бульвар, д. 21",21,Адмиралтейский,муниципальный округ Адмиралтейский,Санкт-Петербург,Конногвардейский бульвар,"Санкт-Петербург, Конногвардейский бульвар, 21",Адмиралтейская,Фрунзенско-Приморская линия,1435,59.935867,30.31523,933-07-58,http://www.gimnazya.ru/,nabanket@mail.ru,Европейская,0,59.932667,30.295387
838,Гоголь,Gogol,"Санкт-Петербург, Малая Морская ул., д. 8",8,Центральный,муниципальный округ № 78,Санкт-Петербург,Малая Морская улица,"Санкт-Петербург, Малая Морская улица, 8",Адмиралтейская,Фрунзенско-Приморская линия,168,59.935867,30.31523,(812) 312-60-97,www.restaurant-gogol.ru,,"Авторская, Домашняя, Русская",0,59.935529,30.313568
839,Гольфстрим,Golfstrim,"Санкт-Петербург, п. Комарово, Приморское шоссе 484А",484а,Курортный,,Санкт-Петербург,Приморское шоссе,"Санкт-Петербург, Приморское шоссе, 484а",,,1,,,"(812) 32-064-32, (812) 32-064-32",http://www.gulfstream-rest.ru/,komarovo@inbox.ru,"Русская,  Европейская, Домашняя",0,60.176179,29.79445
840,Горный орел,Gorny Orel,"Санкт-Петербург, Александровский парк, д. 1 А",,Петроградский,муниципальный округ Кронверкское,Санкт-Петербург,,"Санкт-Петербург, Александровский парк, 1а",Горьковская,Московско-Петроградская линия,1133,59.956057,30.318904,8 (812) 232-32-82; 8 (812) 323-05-05,http://www.gorniyorel.ru/,info@gorniyorel.ru,"Русская, Грузинская, Европейская",0,59.953349,30.30896
841,Гости,Gosti,"Санкт-Петербург, Малая Морская ул., д. 13",13,Центральный,муниципальный округ № 78,Санкт-Петербург,Малая Морская улица,"Санкт-Петербург, Малая Морская улица, 13",Адмиралтейская,Фрунзенско-Приморская линия,232,59.935867,30.31523,(812)312-58-20,http://gdegosti.ru,www.vk.com/gdegosti,"Европейская, Французская, Итальянская",0,59.935475,30.312221
842,Гюльчатай,Gulchtai,"Санкт-Петербург, Загородный пр., д. 70",70,Адмиралтейский,муниципальный округ Семеновский,Санкт-Петербург,Загородный проспект,"Санкт-Петербург, Загородный проспект, 70",Технологический Институт,Московско-Петроградская линия,191,59.916437,30.318824,"8(812)575-07-90, 666-66-66",http://triton-restoran.ru/restaurants/gyulchataj/about,,Восточная,0,59.916951,30.32062
843,Гонконг,Gonkong,"Санкт – Петербург, ул. Садовая, дом 42, литер А, помещение 43 – Н",43,Петродворцовый,,Санкт-Петербург,Санкт-Петербургское шоссе,"Санкт-Петербург, поселок Стрельна, Санкт-Петербургское шоссе, 43",,,1,,,"тел. 310-13-11, факс 713-47-33",http://ibtspb.ru/ibt_restaurants_obwestvennoe_pitanie/restoran_gonkong/,,"Европейская, Японская, Китайская",0,59.852994,30.07794
844,Два капитана,Dva Kapitana,"Санкт-Петербург,ул. Ярослава Гашека,6",6,Фрунзенский,муниципальный округ Балканский,Санкт-Петербург,улица Ярослава Гашека,"Санкт-Петербург, улица Ярослава Гашека, 6",Купчино,Московско-Петроградская линия,2797,59.829328,30.375588,"(812) 776-55-88, 8-921-984-39-86 (заказ банкета)",http://www.restoran2kapitana.ru/,,"Русская, Итальянская, Европейская",0,59.833244,30.390374
